nome,url,preço,local,hora,data
Pulseira/relógio inteligente - Mi Band 4,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/pulseira-relogio-inteligente-mi-band-4-658334406?xtmc=celular&xtnp=2&xtcr=18,R$ 190,"Rio de Janeiro, Vasco da Gama",08:36,Hoje
J7 pro 64 g aceito cartão,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/j7-pro-64-g-aceito-cartao-658334072?xtmc=celular&xtnp=2&xtcr=19,R$ 570,"Rio de Janeiro, Vila Kosmos",08:25,Hoje
J1 aceito cartão,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/j1-aceito-cartao-658333953?xtmc=celular&xtnp=2&xtcr=20,R$ 165,"Rio de Janeiro, Vila Kosmos",08:21,Hoje
Moto g7 play 32gb,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g7-play-32gb-658329914?xtmc=celular&xtnp=2&xtcr=22,R$ 450,"Rio de Janeiro, Penha Circular",06:07,Hoje
Vendo samsung galaxy s9 troco por ps4 slim ou xbox one s,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/vendo-samsung-galaxy-s9-troco-por-ps4-slim-ou-xbox-one-s-658328313?xtmc=celular&xtnp=2&xtcr=23,R$ 1.350,Rio de Janeiro,03:05,Hoje
Xiaomi redmi note 7,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/xiaomi-redmi-note-7-658326856?xtmc=celular&xtnp=2&xtcr=25,R$ 950,"Rio de Janeiro, Del Castilho",02:09,Hoje
IPhone 7 32 gb,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-7-32-gb-658326313?xtmc=celular&xtnp=2&xtcr=26,R$ 2.000,"Rio de Janeiro, Tijuca",01:56,Hoje
Samsung a7 2018,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/samsung-a7-2018-658326111?xtmc=celular&xtnp=2&xtcr=28,R$ 798,"Rio de Janeiro, Irajá",01:49,Hoje
Vendo Bateria Moto G1,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/vendo-bateria-moto-g1-658324456?xtmc=celular&xtnp=2&xtcr=29,R$ 80,"Rio de Janeiro, Andaraí",01:29,Hoje
P30 Lite,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/p30-lite-658323946?xtmc=celular&xtnp=2&xtcr=30,R$ 1.000,"Rio de Janeiro, Irajá",01:21,Hoje
J8 plus,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/j8-plus-658323794?xtmc=celular&xtnp=2&xtcr=31,R$ 650,"Rio de Janeiro, Jardim Carioca",01:17,Hoje
S10 biometria na tela 384 gigas .veja !!!,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/s10-biometria-na-tela-384-gigas-veja-658318649?xtmc=celular&xtnp=2&xtcr=32,R$ 2.700,Rio de Janeiro,00:33,Hoje
IPhone 6 completo e original,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-6-completo-e-original-658315725?xtmc=celular&xtnp=2&xtcr=33,R$ 950,"Rio de Janeiro, Maracanã",00:07,Hoje
Fone Original EarPods apple,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/fone-original-earpods-apple-658314979?xtmc=celular&xtnp=2&xtcr=34,R$ 99,"Rio de Janeiro, Bonsucesso",23:59,Ontem
Vendo Bateria Samsung,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/vendo-bateria-samsung-658313968?xtmc=celular&xtnp=2&xtcr=35,R$ 40,"Rio de Janeiro, Andaraí",23:50,Ontem
Celular j4+,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/celular-j4-658313658?xtmc=celular&xtnp=2&xtcr=36,R$ 400,"Rio de Janeiro, Inhaúma",23:47,Ontem
Vendo A8,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/vendo-a8-658313638?xtmc=celular&xtnp=2&xtcr=37,R$ 750,"Rio de Janeiro, São Cristóvão",23:47,Ontem
Tela Frontal Moto G2 Nova e testada com Garantia,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/tela-frontal-moto-g2-nova-e-testada-com-garantia-658311404?xtmc=celular&xtnp=2&xtcr=38,R$ 70,"Rio de Janeiro, Parada de Lucas",23:29,Ontem
